00-avengers-company_business,04-iGMM-company_business
"['industries', 'electricity generation', 'power generation', 'technology hardware and instruments', 'technology', 'power management tools', 'power systems', 'tools and equipment', 'industry machinery']","['technology', 'software and it', 'software products']"
"['technology', 'software and it', 'software products']","['industries', 'electricity generation', 'power generation']"
"['consumer cyclical', 'automobile', 'cars', 'passenger vehicles']","['communication services', 'telecom', 'mobile services']"
"['technology', 'software and it', 'computers and components', 'computers hardware', 'software products', 'electronics', 'air conditioners', 'consumer electronics', 'software consulting services', 'cloud services']","['semiconductors', 'technology']"
"['consumer cyclical', 'retail', 'clothing', 'readymade clothing', 'apparels and accessories']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['social media', 'internet or mobile app based business']","['financial services', 'banking services']"
"['consumer cyclical', 'automobile', 'cars', 'luxury goods', 'trucks', 'passenger vehicles']","['energy', 'oil and gas', 'oil and gas pipeline transport']"
"['healthcare', 'pharmaceutical', 'medical equipment', 'healthcare products']","['basic materials', 'iron and steel', 'mining']"
"['utilities', 'water utilities']","['communication services', 'software and it', 'software products']"
"['technology', 'software and it', 'software products', 'artificial intelligence']","['consumer defensive', 'retail', 'consumer services']"
"['technology', 'software and it', 'software products']","['consumer cyclical', 'packaging materials', 'packaging']"
"['consumer cyclical', 'packaging materials', 'packaging']","['technology', 'software and it', 'software products']"
"['consumer defensive', 'retail', 'consumer services', 'convenience stores']","['technology', 'software and it', 'software products']"
"['communication services', 'software and it', 'software products', 'technology', 'internet or mobile app based business', 'advertising', 'media', 'social media', 'artificial intelligence']","['utilities', 'water utilities']"
"['basic materials', 'iron and steel', 'mining', 'metals', 'metal fabrication products', 'metal products manufacturing', 'metal fabrication products', 'manufacturing']","['healthcare', 'pharmaceutical', 'medical equipment']"
"['energy', 'oil and gas', 'oil and gas pipeline transport', 'natural gas generation', 'gas utilities', 'utilities']","['consumer cyclical', 'automobile', 'cars']"
"['consumer cyclical', 'automobile parts', 'tyres', 'automobile']","['basic materials', 'mining', 'metals']"
"['utilities', 'electricity generation', 'power generation', 'gas utilities', 'electric utilities']","['industries', 'electrical products', 'batteries']"
"['real estate', 'construction', 'property investments', 'infrastructure', 'construction', 'investments']","['financial services', 'banking services']"
"['real estate', 'construction', 'property investments', 'infrastructure', 'investments', 'commercial properties', 'financial services', 'construction']","['technology', 'cameras & accessories', 'electronics']"
"['consumer cyclical', 'construction', 'real estate', 'property investments', 'construction', 'investments']","['financial services', 'banking services']"
"['financial services', 'banking services']","['consumer cyclical', 'construction', 'real estate']"
"['technology', 'cameras & accessories', 'electronics', 'capital goods']","['real estate', 'construction', 'property investments']"
"['financial services', 'banking services']","['real estate', 'construction', 'property investments']"
"['industries', 'electrical products', 'batteries', 'power systems', 'engineering products']","['utilities', 'electricity generation', 'power generation']"
"['basic materials', 'mining', 'metals', 'platinum', 'iron and steel', 'nickel', 'coal mining', 'copper mining', 'precious metals']","['consumer cyclical', 'automobile parts', 'tyres']"
"['utilities', 'energy', 'natural gas generation', 'electric utilities', 'gas utilities', 'power generation', 'electricity generation']","['industries', 'electrical products', 'industry machinery']"
"['technology', 'internet of things', 'sensors', 'electronics', 'capital goods']","['consumer defensive', 'chocolate & confectionery', 'fmcg']"
"['consumer cyclical', 'automobile', 'electric vehicles', 'technology']","['energy', 'oil and gas', 'chemicals']"
"['utilities', 'electric utilities', 'gas utilities', 'water utilities', 'energy']","['consumer cyclical', 'automobile', 'automobile parts']"
"['industries', 'construction equipment', 'tools and equipment']","['industries', 'investments', 'financial services']"
"['industries', 'investments', 'financial services', 'energy', 'conglomerate']","['industries', 'construction equipment', 'tools and equipment']"
"['consumer cyclical', 'automobile', 'automobile parts', 'tyres']","['utilities', 'electric utilities', 'gas utilities']"
"['energy', 'oil and gas', 'chemicals', 'petrochemicals', 'petroleum', 'natural gas generation']","['consumer cyclical', 'automobile', 'electric vehicles']"
"['consumer defensive', 'chocolate & confectionery', 'fmcg']","['technology', 'internet of things', 'sensors']"
"['industries', 'electrical products', 'industry machinery']","['utilities', 'energy', 'natural gas generation']"
"['gaming', 'video games / mobile games / tech games / casino games', 'entertainment', 'software and it']","['consumer cyclical', 'apparels and accessories', 'jewellery']"
"['consumer defensive', 'retail', 'super markets', 'hypermarkets', 'convenience stores', 'consumer services']","['technology', 'software and it', 'software products']"
"['industries', 'cameras & accessories', 'business services', 'office equipment']","['financial services', 'banking services']"
"['real estate', 'property investments', 'investments', 'wood products', 'consumer services']","['financial services', 'stock markets, trading, capital markets', 'trading']"
"['real estate', 'construction']","['utilities', 'electric utilities', 'gas utilities']"
"['utilities', 'electric utilities', 'gas utilities', 'energy', 'power generation', 'electricity generation', 'power generation']","['real estate', 'construction']"
"['financial services', 'stock markets, trading, capital markets', 'trading', 'securities']","['real estate', 'property investments', 'investments']"
"['financial services', 'banking services']","['industries', 'cameras & accessories', 'business services']"
"['technology', 'software and it', 'software products', 'software and it infrastructure']","['consumer defensive', 'retail', 'super markets']"
"['consumer cyclical', 'apparels and accessories', 'jewellery', 'watches', 'consumer durables', 'luxury goods']","['gaming', 'video games / mobile games / tech games / casino games', 'entertainment']"
"['financial services', 'insurance']","['technology', 'semiconductors', 'electronics']"
"['technology', 'software and it infrastructure', 'financial services', 'internet or mobile app based business']","['financial services', 'banking services', 'wealth management']"
"['consumer defensive', 'animal feed', 'agriculture products', 'agriculture related', 'animal healthcare companies', 'animal health medicine', 'pharmaceutical', 'farming / seeds / milling']","['healthcare', 'healthcare service', 'internet or mobile app based business']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['industries', 'technology', 'solar power devices']"
"['industries', 'heating equipment', 'building products and equipment']","['utilities', 'electric utilities', 'renewable energy']"
"['utilities', 'electric utilities', 'renewable energy']","['industries', 'heating equipment', 'building products and equipment']"
"['industries', 'technology', 'solar power devices', 'electrical products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['healthcare', 'healthcare service', 'internet or mobile app based business', 'healthcare technology and information']","['consumer defensive', 'animal feed', 'agriculture products']"
"['financial services', 'banking services', 'wealth management', 'insurance', 'credit cards']","['technology', 'software and it infrastructure', 'financial services']"
"['technology', 'semiconductors', 'electronics']","['financial services', 'insurance']"
"['industries', 'mining equipment', 'infrastructure', 'heavy machinery']","['financial services', 'banking services', 'insurance']"
"['consumer cyclical', 'automobile']","['financial services', 'banking services', 'asset management']"
"['basic materials', 'cement', 'construction materials']","['basic materials', 'chemicals', 'petrochemicals']"
"['healthcare', 'medical equipment', 'healthcare products']","['energy', 'oil and gas', 'oil and gas pipeline transport']"
"['consumer cyclical', 'metals', 'metal products manufacturing', 'packaging materials', 'metal fabrication products', 'consumer durables', 'packaging', 'metal fabrication products', 'manufacturing']","['financial services', 'insurance']"
"['financial services', 'insurance']","['consumer cyclical', 'metals', 'metal products manufacturing']"
"['energy', 'oil and gas', 'oil and gas pipeline transport', 'petroleum', 'natural gas generation']","['healthcare', 'medical equipment', 'healthcare products']"
"['basic materials', 'chemicals', 'petrochemicals', 'software and it', 'technology', 'software products']","['basic materials', 'cement', 'construction materials']"
"['financial services', 'banking services', 'asset management']","['consumer cyclical', 'automobile']"
"['financial services', 'banking services', 'insurance', 'brokerage services', 'investments']","['industries', 'mining equipment', 'infrastructure']"
"['healthcare', 'healthcare products', 'biotechnology']","['utilities', 'water utilities', 'gas utilities']"
"['technology', 'software and it', 'software products', 'software and it infrastructure']","['consumer cyclical', 'hotels', 'consumer services']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services', 'utilities', 'telecom equipment']","['industries', 'infrastructure']"
"['industries', 'home improvement', 'construction materials', 'consumer goods', 'home furnishing', 'building products and equipment']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['financial services', 'insurance']","['communication services', 'telecom']"
"['communication services', 'telecom']","['financial services', 'insurance']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'chemicals', 'packaging', 'medical equipment']","['industries', 'home improvement', 'construction materials']"
"['industries', 'infrastructure']","['communication services', 'telecom', 'mobile services']"
"['consumer cyclical', 'hotels', 'consumer services']","['technology', 'software and it', 'software products']"
"['utilities', 'water utilities', 'gas utilities', 'oil and gas']","['healthcare', 'healthcare products', 'biotechnology']"
"['industries', 'power equipment', 'wind turbines', 'industry machinery']","['communication services', 'software and it', 'software products']"
"['healthcare', 'medical equipment', 'healthcare products']","['consumer defensive', 'non-alcoholic beverages', 'beverages']"
financial services,"['consumer cyclical', 'clothing', 'readymade clothing']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'television services', 'internet providers', 'utilities', 'broadcasting', 'telecom equipment']","['real estate', 'internet or mobile app based business', 'software and it']"
"['financial services', 'insurance', 'asset management', 'investments']","['technology', 'computers hardware', 'technology hardware and instruments']"
"['technology', 'computers hardware', 'technology hardware and instruments', 'printers', 'communications equipment']","['financial services', 'insurance', 'asset management']"
"['real estate', 'internet or mobile app based business', 'software and it', 'software products', 'business services']","['communication services', 'telecom', 'mobile services']"
"['consumer cyclical', 'clothing', 'readymade clothing', 'apparels and accessories', 'footwear', 'consumer non durables', 'textile']",['financial services']
"['consumer defensive', 'non-alcoholic beverages', 'beverages', 'fmcg', 'consumer non durables', 'alcoholic beverages']","['healthcare', 'medical equipment', 'healthcare products']"
"['communication services', 'software and it', 'software products', 'publishing']","['industries', 'power equipment', 'wind turbines']"
"['industries', 'electronics', 'electrical products', 'air conditioners', 'semiconductors', 'building automation', 'power systems', 'space products', 'aerospace products', 'defense products', 'satellites', 'power generation', 'aerospace and defense', 'automation']","['industries', 'escalators', 'elevators']"
"['technology', 'semiconductors', 'electronics', 'technology hardware and instruments']","['consumer cyclical', 'consumer services', 'gaming']"
"['energy', 'oil and gas', 'gas utilities', 'natural gas generation', 'utilities']","['communication services', 'telecom', 'mobile services']"
"['technology', 'software and it', 'software consulting services', 'software products']","['retail', 'super markets']"
"['financial services', 'insurance']","['real estate', 'consumer services', 'property investments']"
"['real estate', 'consumer services', 'property investments']","['financial services', 'insurance']"
"['retail', 'super markets']","['technology', 'software and it', 'software consulting services']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services']","['energy', 'oil and gas', 'gas utilities']"
"['consumer cyclical', 'consumer services', 'gaming', 'gambling']","['technology', 'semiconductors', 'electronics']"
"['industries', 'escalators', 'elevators', 'building automation', 'capital goods', 'machinery manufacturing', 'automation', 'manufacturing', 'industry machinery']","['industries', 'electronics', 'electrical products']"
"['industries', 'technology hardware and instruments', 'technology', 'electrical products']","['healthcare', 'retail', 'pharmacy']"
"['utilities', 'energy', 'gas utilities', 'electric utilities', 'power generation', 'electric vehicle charging station']","['technology', 'software and it', 'software products']"
"['energy', 'oil and gas', 'natural gas generation', 'petrochemicals', 'petroleum', 'fuels', 'lubricants', 'chemicals']","['energy', 'oil and gas']"
"['energy', 'oil and gas', 'natural gas generation']","['technology', 'consumer electronics', 'electronics']"
"['basic materials', 'construction materials', 'mining', 'metals']","['basic materials', 'chemicals']"
"['basic materials', 'chemicals']","['basic materials', 'construction materials', 'mining']"
"['technology', 'consumer electronics', 'electronics', 'watches', 'gaming', 'sensors']","['energy', 'oil and gas', 'natural gas generation']"
"['energy', 'oil and gas']","['energy', 'oil and gas', 'natural gas generation']"
"['technology', 'software and it', 'software products']","['utilities', 'energy', 'gas utilities']"
"['healthcare', 'retail', 'pharmacy', 'marketing services', 'pharmaceutical', 'healthcare service', 'healthcare products']","['industries', 'technology hardware and instruments', 'technology']"
"['industries', 'tractors', 'automobile', 'heavy vehicles', 'agriculture machinery', 'construction equipment', 'machinery manufacturing', 'manufacturing', 'heavy machinery']","['basic materials', 'chemicals', 'batteries']"
"['industries', 'railway', 'railway operating company', 'rail transport', 'transportation', 'freight transport']","['healthcare', 'health care diagnostics', 'healthcare service']"
"['basic materials', 'fertilizers', 'chemicals', 'agriculture related']","['consumer defensive', 'food products', 'non-alcoholic beverages']"
"['consumer cyclical', 'clothing', 'textile']","['consumer cyclical', 'automobile', 'cars']"
"['consumer cyclical', 'travel and transport', 'hotels', 'ecommerce', 'internet or mobile app based business', 'transportation', 'consumer services']","['technology', 'electronics', 'semiconductors']"
"['technology', 'electronics', 'semiconductors', 'technology hardware and instruments', 'processors / chips']","['consumer cyclical', 'travel and transport', 'hotels']"
"['consumer cyclical', 'automobile', 'cars', 'commercial vehicles', 'sports vehicles', 'electric vehicles', 'passenger vehicles']","['consumer cyclical', 'clothing', 'textile']"
"['consumer defensive', 'food products', 'non-alcoholic beverages', 'beverages', 'dairy products', 'meat / poultry / fish / chicken', 'fmcg', 'consumer goods', 'food and beverage', 'meat / poultry / fish / chicken', 'package foods']","['basic materials', 'fertilizers', 'chemicals']"
"['healthcare', 'health care diagnostics', 'healthcare service', 'healthcare products']","['industries', 'railway', 'railway operating company']"
"['basic materials', 'chemicals', 'batteries']","['industries', 'tractors', 'automobile']"
"['financial services', 'banking services', 'asset management', 'investments', 'wealth management']","['consumer defensive', 'retail', 'super markets']"
"['technology', 'software and it', 'software products', 'consumer services']","['financial services', 'banking services']"
"['utilities', 'energy', 'electricity generation', 'power generation', 'electric utilities']","['consumer defensive', 'food products', 'meat / poultry / fish / chicken']"
"['consumer cyclical', 'gambling', 'entertainment', 'gaming']","['technology', 'financial services', 'banking services']"
"['healthcare', 'software and it', 'technology', 'healthcare products', 'healthcare service', 'software products', 'healthcare technology and information']","['healthcare', 'hospitals', 'healthcare products']"
"['healthcare', 'hospitals', 'healthcare products', 'healthcare service']","['healthcare', 'software and it', 'technology']"
"['technology', 'financial services', 'banking services', 'artificial intelligence', 'big data', 'cloud services']","['consumer cyclical', 'gambling', 'entertainment']"
"['consumer defensive', 'food products', 'meat / poultry / fish / chicken', 'dairy products', 'consumer non durables', 'meat / poultry / fish / chicken', 'fmcg', 'package foods']","['utilities', 'energy', 'electricity generation']"
"['financial services', 'banking services']","['technology', 'software and it', 'software products']"
"['consumer defensive', 'retail', 'super markets', 'food products', 'pharmacy', 'financial services', 'apparels and accessories', 'fashion and luxury goods', 'food and beverage', 'luxury goods']","['financial services', 'banking services', 'asset management']"
"['energy', 'oil and gas', 'natural gas generation', 'petroleum', 'chemicals']","['industries', 'transportation', 'shipping']"
"['basic materials', 'construction materials', 'mining', 'metals']","['technology', 'software and it', 'cloud services']"
"['healthcare', 'medical equipment', 'healthcare products']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['communication services', 'telecom', 'internet providers', 'television services', 'consumer services', 'media', 'advertising', 'entertainment']","['financial services', 'stock markets, trading, capital markets']"
"['energy', 'oil and gas', 'natural gas generation', 'petroleum', 'petrochemicals', 'chemicals']","['industries', 'airlines', 'aviation']"
"['industries', 'airlines', 'aviation', 'transportation', 'travel and transport']","['energy', 'oil and gas', 'natural gas generation']"
"['financial services', 'stock markets, trading, capital markets']","['communication services', 'telecom', 'internet providers']"
"['consumer defensive', 'alcoholic beverages', 'beverages', 'beer']","['healthcare', 'medical equipment', 'healthcare products']"
"['technology', 'software and it', 'cloud services', 'software products']","['basic materials', 'construction materials', 'mining']"
"['industries', 'transportation', 'shipping', 'freight transport']","['energy', 'oil and gas', 'natural gas generation']"
"['utilities', 'electric utilities', 'electric vehicle charging station']","['basic materials', 'chemicals', 'petrochemicals']"
"['industries', 'airlines', 'aviation', 'transportation']","['financial services', 'banking services']"
"['technology', 'electronics', 'home appliances', 'air conditioners', 'technology hardware and instruments', 'mobiles', 'projectors', ""tv's"", 'cameras & accessories', 'tablets', 'semiconductors', 'mobiles & accessories', 'consumer electronics', 'industrial electrical electronics', 'lighting products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer cyclical', 'energy', 'chemicals', 'petrochemicals', 'oil and gas', 'textile']","['technology', 'electronics', 'technology hardware and instruments']"
"['basic materials', 'iron and steel', 'mining', 'metals']","['ecommerce', 'internet or mobile app based business', 'technology']"
"['ecommerce', 'internet or mobile app based business', 'technology', 'retail', 'software and it']","['basic materials', 'iron and steel', 'mining']"
"['technology', 'electronics', 'technology hardware and instruments', 'capital goods']","['consumer cyclical', 'energy', 'chemicals']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['technology', 'electronics', 'home appliances']"
"['financial services', 'banking services']","['industries', 'airlines', 'aviation']"
"['basic materials', 'chemicals', 'petrochemicals', 'fertilizers', 'iron and steel', 'metals']","['utilities', 'electric utilities', 'electric vehicle charging station']"
"['basic materials', 'mining', 'gold mining', 'bauxite mining', 'aluminum', 'copper mining', 'zinc', 'silver mining']","['energy', 'oil and gas', 'natural gas generation']"
"['industries', 'aviation', 'transportation', 'freight transport', 'airlines']","['ecommerce', 'internet or mobile app based business', 'technology']"
"['utilities', 'gas utilities']","['consumer defensive', 'beverages', 'non-alcoholic beverages']"
"['financial services', 'internet or mobile app based business', 'technology']","['technology', 'internet or mobile app based business', 'network hardware and software']"
"['industries', 'machinery manufacturing', 'technology', 'manufacturing', 'engineering products', 'industry machinery']","['financial services', 'credit cards', 'digital payment solution services']"
"['financial services', 'credit cards', 'digital payment solution services']","['industries', 'machinery manufacturing', 'technology']"
"['technology', 'internet or mobile app based business', 'network hardware and software', 'infrastructure', 'software and it', 'software products', 'software and it infrastructure']","['financial services', 'internet or mobile app based business', 'technology']"
"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg']","['utilities', 'gas utilities']"
"['ecommerce', 'internet or mobile app based business', 'technology']","['industries', 'aviation', 'transportation']"
"['energy', 'oil and gas', 'natural gas generation', 'petroleum', 'petrochemicals', 'lubricants', 'chemicals']","['basic materials', 'mining', 'gold mining']"
"['industries', 'airports operating', 'infrastructure']","['healthcare', 'biotechnology', 'healthcare products']"
"['communication services', 'consumer services', 'entertainment']","['utilities', 'electricity generation', 'power generation']"
"['industries', 'conglomerate', 'telecom', 'energy', 'infrastructure', 'retail']","['consumer cyclical', 'automobile', 'automobile parts']"
"['industries', 'business services']","['tobacco products', 'tobacco and cigarette']"
"['industries', 'retail', 'ecommerce', 'internet or mobile app based business', 'b2b services', 'consumer services', 'office equipment']","['utilities', 'electric utilities']"
"['utilities', 'electric utilities']","['industries', 'retail', 'ecommerce']"
"['tobacco products', 'tobacco and cigarette']","['industries', 'business services']"
"['consumer cyclical', 'automobile', 'automobile parts', 'machinery manufacturing', 'manufacturing']","['industries', 'conglomerate', 'telecom']"
"['utilities', 'electricity generation', 'power generation', 'electric utilities', 'renewable energy']","['communication services', 'consumer services', 'entertainment']"
"['healthcare', 'biotechnology', 'healthcare products', 'technology']","['industries', 'airports operating', 'infrastructure']"
"['consumer cyclical', 'ecommerce', 'retail', 'consumer services', 'agriculture machinery']","['consumer cyclical', 'ecommerce', 'retail']"
"['industries', 'railway', 'railway vehicles and railway components']","['basic materials', 'chemicals', 'plastics / plastic products']"
"['consumer cyclical', 'automobile', 'automobile parts', 'capital goods']","['utilities', 'gas utilities']"
"['consumer defensive', 'fmcg', 'food products', 'food and beverage', 'package foods']","['consumer defensive', 'fmcg', 'home care products']"
"['technology', 'semiconductors', 'artificial intelligence']","['industries', 'environmental services', 'professional services']"
"['technology', 'technology hardware and instruments', 'software and it', 'software products', 'automation', 'robotics', 'machinery manufacturing', 'engineering products', 'capital goods', 'manufacturing']","['technology', 'technology hardware and instruments', 'software and it']"
"['industries', 'environmental services', 'professional services', 'waste and trash management']","['technology', 'semiconductors', 'artificial intelligence']"
"['consumer defensive', 'fmcg', 'home care products', 'home cleaning accessories', 'personal care products', 'consumer non durables', 'healthcare products']","['consumer defensive', 'fmcg', 'food products']"
"['utilities', 'gas utilities']","['consumer cyclical', 'automobile', 'automobile parts']"
"['basic materials', 'chemicals', 'plastics / plastic products']","['industries', 'railway', 'railway vehicles and railway components']"
"['consumer defensive', 'food products', 'fmcg', 'consumer non durables', 'package foods']","['consumer defensive', 'food products', 'fmcg']"
"['communication services', 'telecom', 'mobile services', 'internet providers', 'utilities', 'telecom equipment']","['financial services', 'banking services']"
"['financial services', 'insurance']","['real estate', 'financial services', 'property investments']"
"['technology', 'cameras & accessories', 'medical equipment', 'audio & video systems', 'printers', 'electronics', 'machinery manufacturing', 'consumer electronics', 'manufacturing', 'video making products', 'computers hardware']","['consumer cyclical', 'travel and transport', 'marine transportation']"
"['consumer cyclical', 'apparels and accessories', 'footwear', 'shoes', 'sports goods', 'leisure']","['technology', 'semiconductors', 'electronics']"
"['basic materials', 'paints and coatings', 'chemicals']","['basic materials', 'paints and coatings', 'chemicals']"
"['technology', 'semiconductors', 'electronics']","['consumer cyclical', 'apparels and accessories', 'footwear']"
"['consumer cyclical', 'travel and transport', 'marine transportation', 'transportation', 'consumer services', 'leisure']","['technology', 'cameras & accessories', 'medical equipment']"
"['real estate', 'financial services', 'property investments']","['financial services', 'insurance']"
"['financial services', 'banking services']","['communication services', 'telecom', 'mobile services']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation', 'energy']","['utilities', 'electric utilities', 'electricity generation']"
"['real estate', 'consumer services', 'property investments']","['technology', 'technology hardware and instruments', 'capital goods']"
"['financial services', 'insurance', 'asset management', 'investments']","['industries', 'railway', 'rail transport']"
"['consumer cyclical', 'automobile', 'cars', 'passenger vehicles']","['consumer defensive', 'fmcg', 'consumer non durables']"
"['energy', 'coal mining', 'conglomerate', 'mining']","['technology', 'semiconductors', 'technology hardware and instruments']"
"['industries', 'infrastructure', 'building products and equipment']","['industries', 'infrastructure', 'building products and equipment']"
"['consumer defensive', 'fmcg', 'consumer non durables', 'personal care products', 'beauty and personal care']","['energy', 'coal mining', 'conglomerate']"
"['technology', 'semiconductors', 'technology hardware and instruments']","['consumer cyclical', 'automobile', 'cars']"
"['technology', 'technology hardware and instruments', 'capital goods', 'electronics', 'consumer electronics']","['financial services', 'insurance', 'asset management']"
"['industries', 'railway', 'rail transport', 'railway operating company', 'transportation']","['real estate', 'consumer services', 'property investments']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['technology', 'consumer services', 'software and it', 'market research']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['consumer cyclical', 'retail', 'electronics', 'consumer services']","['basic materials', 'chemicals', 'plastics / plastic products']"
"['communication services', 'telecom', 'media', 'mobile services', 'fixed line service', 'internet providers', 'television services', 'broadcasting', 'consumer services', 'media', 'advertising']","['communication services', 'radio broadcasting', 'broadcasting']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation', 'energy']","['basic materials', 'paper and pulp', 'forest products']"
"['technology', 'electronics', 'computers hardware', 'technology hardware and instruments']","['technology', 'electronics', 'computers hardware']"
"['basic materials', 'paper and pulp', 'forest products']","['utilities', 'electric utilities', 'electricity generation']"
"['communication services', 'radio broadcasting', 'broadcasting', 'media', 'advertising', 'consumer services']","['communication services', 'telecom', 'media']"
"['basic materials', 'chemicals', 'plastics / plastic products']","['consumer cyclical', 'retail', 'electronics']"
"['consumer defensive', 'alcoholic beverages', 'beverages', 'beer']","['technology', 'consumer services', 'software and it']"
"['industries', 'infrastructure', 'airports operating']","['industries', 'infrastructure', 'airports operating']"
"['real estate', 'property investments', 'investments', 'commercial properties']","['technology', 'electronics', 'semiconductors']"
"['financial services', 'investments', 'investment banking', 'asset management', 'banking services']","['financial services', 'insurance', 'investments']"
"['consumer cyclical', 'bicycle', 'boats', 'leisure']","['financial services', 'banking services']"
"['real estate', 'rent / lease services']","['consumer defensive', 'chemicals', 'cosmetics']"
"['consumer defensive', 'beverages', 'alcoholic beverages', 'non-alcoholic beverages', 'beer']","['consumer defensive', 'beverages', 'alcoholic beverages']"
"['consumer defensive', 'chemicals', 'cosmetics', 'fmcg', 'personal care products', 'consumer goods']","['real estate', 'rent / lease services']"
"['financial services', 'banking services']","['consumer cyclical', 'bicycle', 'boats']"
"['financial services', 'insurance', 'investments']","['financial services', 'investments', 'investment banking']"
"['technology', 'electronics', 'semiconductors', 'lighting products']","['real estate', 'property investments', 'investments']"
"['basic materials', 'mining', 'gold mining', 'precious metals', 'metals']","['basic materials', 'mining', 'gold mining']"
"['technology', 'electronics', 'semiconductors', 'capital goods']","['financial services', 'investments', 'asset management']"
,"['basic materials', 'plastics / plastic products', 'chemicals']"
"['industries', 'automobile', 'automobile parts', 'capital goods', 'machinery manufacturing', 'manufacturing', 'industry machinery']","['online food delivery', 'communication services', 'internet or mobile app based business']"
"['financial services', 'investments', 'asset management']","['communication services', 'media', 'television services']"
"['industries', 'product testing services', 'professional services']","['industries', 'product testing services', 'professional services']"
"['communication services', 'media', 'television services', 'consumer services', 'advertising', 'consumer services', 'entertainment']","['financial services', 'investments', 'asset management']"
"['online food delivery', 'communication services', 'internet or mobile app based business', 'food service', 'retail', 'ecommerce']","['industries', 'automobile', 'automobile parts']"
"['basic materials', 'plastics / plastic products', 'chemicals', 'petrochemicals']",[]
"['financial services', 'investments', 'asset management', 'wealth management', 'securities', 'brokerage services', 'stock markets, trading, capital markets']","['technology', 'electronics', 'semiconductors']"
"['technology', 'semiconductors', 'electronics', 'communications equipment']","['technology', 'semiconductors', 'electronics']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers', 'television services', 'utilities', 'telecom equipment']","['financial services', 'banking services']"
"['financial services', 'insurance']","['technology', 'software and it', 'software products']"
"['technology', 'electronics', 'semiconductors', 'processors / chips']","['financial services', 'banking services']"
"['basic materials', 'mining', 'metals']","['industries', 'aerospace products', 'defense products']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['industries', 'aerospace products', 'defense products', 'security systems and solutions', 'marine systems', 'aerospace and defense', 'space products']","['basic materials', 'mining', 'metals']"
"['financial services', 'banking services']","['technology', 'electronics', 'semiconductors']"
"['technology', 'software and it', 'software products']","['financial services', 'insurance']"
"['financial services', 'banking services']","['communication services', 'telecom', 'mobile services']"
"['healthcare', 'biotechnology']","['healthcare', 'biotechnology']"
"['consumer cyclical', 'ecommerce', 'internet or mobile app based business', 'business services', 'retail']","['financial services', 'insurance']"
"['healthcare', 'pharmaceutical', 'medical equipment', 'healthcare products']","['utilities', 'electricity generation', 'power generation']"
"['financial services', 'investments', 'asset management']","['industries', 'automobile', 'construction equipment']"
"['banking services', 'financial services']","['utilities', 'electricity generation', 'power generation']"
"['industries', 'rent / lease services', 'b2b services']","['industries', 'rent / lease services', 'b2b services']"
"['utilities', 'electricity generation', 'power generation', 'energy', 'electric utilities']","['banking services', 'financial services']"
"['industries', 'automobile', 'construction equipment', 'mining', 'mining equipment', 'defense products', 'capital goods', 'heavy machinery', 'heavy vehicles', 'machinery manufacturing', 'manufacturing', 'trucks']","['financial services', 'investments', 'asset management']"
"['utilities', 'electricity generation', 'power generation', 'electric utilities', 'natural gas generation', 'gas utilities', 'energy']","['healthcare', 'pharmaceutical', 'medical equipment']"
"['financial services', 'insurance']","['consumer cyclical', 'ecommerce', 'internet or mobile app based business']"
"['industries', 'aerospace and defense', 'aerospace products', 'aircraft parts', 'space products']","['industries', 'aerospace and defense', 'aerospace products']"
"['financial services', 'banking services']","['utilities', 'electric utilities', 'energy']"
"['banking services', 'financial services']","['utilities', 'electric utilities']"
"['utilities', 'electric utilities', 'gas utilities', 'energy']","['consumer defensive', 'dairy products', 'fmcg']"
"['technology', 'healthcare service', 'internet or mobile app based business', 'hospitals']","['energy', 'oil field services', 'oil and gas']"
"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'technology', 'healthcare products']","['healthcare', 'pharmaceutical', 'biopharmaceutical']"
"['energy', 'oil field services', 'oil and gas']","['technology', 'healthcare service', 'internet or mobile app based business']"
"['consumer defensive', 'dairy products', 'fmcg', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'food products', 'package foods']","['utilities', 'electric utilities', 'gas utilities']"
"['utilities', 'electric utilities']","['banking services', 'financial services']"
"['utilities', 'electric utilities', 'energy', 'power generation', 'electricity generation']","['financial services', 'banking services']"
