02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
footwear & accessories,staffing & employment services,tools & accessories,staffing & employment services,asset management,electronic components,consumer discretionary,industrials,industrials,industrials,financials,industrials,technology
specialty chemicals,drug manufacturers—general,railroads,drug manufacturers—general,asset management,banks,basic materials,healthcare,industrials,healthcare,financials,healthcare,financials
internet content & information,specialty chemicals,internet content & information,specialty chemicals,advertising agencies,oil & gas integrated,communication services,basic materials,communication services,basic materials,communication services,basic materials,energy
drug manufacturers—specialty & generic,biotechnology,banks,biotechnology,reitretail,other industrial metals & mining,healthcare,healthcare,financials,healthcare,real estate,healthcare,basic materials
confectioners,specialty industrial machinery,reit—retail,specialty industrial machinery,asset management,oil & gas e&p,consumer staples,industrials,real estate,industrials,financials,industrials,energy
electronic components,insurance—property & casualty,medical instruments & supplies,insurance—property & casualty,reitdiversified,software—application,technology,financials,healthcare,financials,real estate,financials,technology
residential construction,banks,banks,banks,railroads,beverages—wineries & distilleries,consumer discretionary,financials,financials,financials,industrials,financials,consumer staples
telecom services,electrical equipment & parts,chemicals,electrical equipment & parts,consulting services,semiconductors,communication services,industrials,basic materials,industrials,industrials,industrials,technology
diagnostics & research,waste management,computer hardware,waste management,building products & equipment,insurance—property & casualty,healthcare,industrials,technology,industrials,industrials,industrials,financials
insurance—property & casualty,banks,banks,banks,asset management,diagnostics & research,financials,financials,financials,financials,financials,financials,healthcare
semiconductors,banks,insurance—property & casualty,banks,residential construction,telecom services,technology,financials,financials,financials,consumer discretionary,financials,communication services
beverages—wineries & distilleries,banks,utilities—regulated electric,banks,softwareinfrastructure,residential construction,consumer staples,financials,utilities,financials,technology,financials,consumer discretionary
software—application,reit—specialty,airlines,reit—specialty,consulting services,electronic components,technology,real estate,industrials,real estate,industrials,real estate,technology
oil & gas e&p,gold,aerospace & defense,gold,asset management,confectioners,energy,basic materials,industrials,basic materials,financials,basic materials,consumer staples
other industrial metals & mining,auto manufacturers,software—application,auto manufacturers,restaurants,drug manufacturers—specialty & generic,basic materials,consumer discretionary,technology,consumer discretionary,consumer discretionary,consumer discretionary,healthcare
oil & gas integrated,household & personal products,railroads,household & personal products,asset management,internet content & information,energy,consumer staples,industrials,consumer staples,financials,consumer staples,communication services
banks,utilities—diversified,utilities—regulated electric,utilities—diversified,advertising agencies,specialty chemicals,financials,utilities,utilities,utilities,communication services,utilities,basic materials
electronic components,software—application,oil & gas midstream,software—application,softwareinfrastructure,footwear & accessories,technology,technology,energy,technology,technology,technology,consumer discretionary
specialty retail,leisure,electronic components,leisure,reitretail,specialty industrial machinery,consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,consumer discretionary,industrials
diagnostics & research,semiconductors,farm & heavy construction machinery,semiconductors,real estate services,banks,healthcare,technology,industrials,technology,real estate,technology,financials
specialty business services,marine shipping,building materials,marine shipping,building materials,diagnostics & research,industrials,industrials,basic materials,industrials,basic materials,industrials,healthcare
software—application,chemicals,telecom services,chemicals,asset management,steel,technology,basic materials,communication services,basic materials,financials,basic materials,basic materials
restaurants,integrated freight & logistics,business equipment & supplies,integrated freight & logistics,electrical equipment & parts,information technology services,consumer discretionary,industrials,industrials,industrials,industrials,industrials,technology
banks,medical devices,medical care facilities,medical devices,asset management,specialty industrial machinery,financials,healthcare,healthcare,healthcare,financials,healthcare,industrials
biotechnology,utilities—diversified,reit—residential,utilities—diversified,asset management,insurance—life,healthcare,utilities,real estate,utilities,financials,utilities,financials
information technology services,software—application,software—application,software—application,building products & equipment,software—application,technology,technology,technology,technology,industrials,technology,technology
gold,insurance—life,asset management,insurance—life,asset management,internet content & information,basic materials,financials,financials,financials,financials,financials,communication services
computer hardware,auto manufacturers,auto manufacturers,auto manufacturers,semiconductors,software—infrastructure,technology,consumer discretionary,consumer discretionary,consumer discretionary,technology,consumer discretionary,technology
oil & gas integrated,electronic gaming & multimedia,airports & air services,electronic gaming & multimedia,asset management,other industrial metals & mining,energy,communication services,industrials,communication services,financials,communication services,basic materials
drug manufacturers—general,software—application,marine shipping,software—application,mortgage finance,specialty retail,healthcare,technology,industrials,technology,financials,technology,consumer discretionary
drug manufacturers—general,financial data & stock exchanges,oil & gas e&p,financial data & stock exchanges,utilitiesrenewable,engineering & construction,healthcare,financials,energy,financials,utilities,financials,industrials
semiconductors,electronic gaming & multimedia,entertainment,electronic gaming & multimedia,specialty chemicals,software—infrastructure,technology,communication services,communication services,communication services,basic materials,communication services,technology
banks,oil & gas e&p,banks,oil & gas e&p,semiconductor equipment & materials,oil & gas integrated,financials,energy,financials,energy,technology,energy,energy
software—infrastructure,specialty industrial machinery,utilities—regulated electric,specialty industrial machinery,capital markets,medical distribution,technology,industrials,utilities,industrials,financials,industrials,healthcare
software—application,semiconductors,railroads,semiconductors,telecom services,oil & gas integrated,technology,technology,industrials,technology,communication services,technology,energy
integrated freight & logistics,information technology services,beverages—brewers,information technology services,personal services,chemicals,industrials,technology,consumer staples,technology,consumer discretionary,technology,basic materials
banks,banks,agricultural inputs,banks,reitoffice,apparel retail,financials,financials,basic materials,financials,real estate,financials,consumer discretionary
restaurants,marine shipping,biotechnology,marine shipping,insuranceproperty & casualty,semiconductors,consumer discretionary,industrials,healthcare,industrials,financials,industrials,technology
banks,software—infrastructure,textile manufacturing,software—infrastructure,softwareapplication,reit—retail,financials,technology,consumer discretionary,technology,technology,technology,real estate
electrical equipment & parts,specialty industrial machinery,utilities—regulated electric,specialty industrial machinery,publishing,conglomerates,industrials,industrials,utilities,industrials,communication services,industrials,industrials
railroads,oil & gas e&p,specialty industrial machinery,oil & gas e&p,softwareinfrastructure,chemicals,industrials,energy,industrials,energy,technology,energy,basic materials
telecom services,agricultural inputs,apparel manufacturing,agricultural inputs,asset management,banks,communication services,basic materials,consumer discretionary,basic materials,financials,basic materials,financials
semiconductors,software—infrastructure,medical instruments & supplies,software—infrastructure,telecom services,utilities—regulated electric,technology,technology,healthcare,technology,communication services,technology,utilities
semiconductors,integrated freight & logistics,biotechnology,integrated freight & logistics,advertising agencies,reit—healthcare facilities,technology,industrials,healthcare,industrials,communication services,industrials,real estate
drug manufacturers—general,internet content & information,reit—residential,internet content & information,medical distribution,financial data & stock exchanges,healthcare,communication services,real estate,communication services,healthcare,communication services,financials
internet content & information,financial data & stock exchanges,capital markets,financial data & stock exchanges,travel services,banks,communication services,financials,financials,financials,consumer discretionary,financials,financials
specialty chemicals,credit services,medical instruments & supplies,credit services,asset management,medical instruments & supplies,basic materials,financials,healthcare,financials,financials,financials,healthcare
utilities—regulated electric,specialty industrial machinery,banks,specialty industrial machinery,information technology services,capital markets,utilities,industrials,financials,industrials,technology,industrials,financials
banks,software—infrastructure,farm products,software—infrastructure,asset management,specialty business services,financials,technology,consumer staples,technology,financials,technology,industrials
telecom services,banks,broadcasting,banks,education & training services,diagnostics & research,communication services,financials,communication services,financials,consumer staples,financials,healthcare
capital markets,household & personal products,insurance—life,household & personal products,specialty industrial machinery,pharmaceutical retailers,financials,consumer staples,financials,consumer staples,industrials,consumer staples,healthcare
entertainment,beverages—non-alcoholic,leisure,beverages—non-alcoholic,real estate services,reit—office,communication services,consumer staples,consumer discretionary,consumer staples,real estate,consumer staples,real estate
banks,telecom services,thermal coal,telecom services,utilitiesdiversified,banks,financials,communication services,energy,communication services,utilities,communication services,financials
capital markets,copper,financial data & stock exchanges,copper,asset management,building products & equipment,financials,basic materials,financials,basic materials,financials,basic materials,industrials
tobacco,medical devices,scientific & technical instruments,medical devices,capital markets,asset management,consumer staples,healthcare,technology,healthcare,financials,healthcare,financials
medical devices,engineering & construction,banks,engineering & construction,engineering & construction,internet content & information,healthcare,industrials,financials,industrials,industrials,industrials,communication services
aerospace & defense,software—application,banks,software—application,softwareapplication,communication equipment,industrials,technology,financials,technology,technology,technology,technology
credit services,publishing,insurance—life,publishing,telecom services,other industrial metals & mining,financials,communication services,financials,communication services,communication services,communication services,basic materials
luxury goods,semiconductors,specialty retail,semiconductors,real estate services,banks,consumer discretionary,technology,consumer discretionary,technology,real estate,,financials
banks,chemicals,communication equipment,chemicals,asset management,oil & gas refining & marketing,financials,basic materials,technology,basic materials,financials,basic materials,energy
oil & gas integrated,beverages—wineries & distilleries,semiconductors,beverages—wineries & distilleries,asset management,banks,energy,consumer staples,technology,consumer staples,financials,consumer staples,financials
banks,oil & gas equipment & services,restaurants,oil & gas equipment & services,asset management,insurance—property & casualty,financials,energy,consumer discretionary,energy,financials,energy,financials
home improvement retail,semiconductors,reit—industrial,semiconductors,asset management,oil & gas midstream,consumer discretionary,technology,real estate,technology,financials,technology,energy
drug manufacturers—general,banks,banks,banks,asset management,oil & gas e&p,healthcare,financials,financials,financials,financials,financials,energy
banks,oil & gas midstream,farm & heavy construction machinery,oil & gas midstream,asset management,semiconductors,financials,energy,industrials,energy,financials,energy,technology
banks,packaged foods,building products & equipment,packaged foods,auto manufacturers,biotechnology,financials,consumer staples,industrials,consumer staples,consumer discretionary,consumer staples,healthcare
telecom services,conglomerates,telecom services,conglomerates,textile manufacturing,insurance—life,communication services,industrials,communication services,industrials,consumer discretionary,industrials,financials
oil & gas integrated,banks,banks,banks,oil & gas integrated,grocery stores,energy,financials,financials,financials,energy,financials,consumer staples
specialty industrial machinery,lodging,resorts & casinos,lodging,oil & gas e&p,food distribution,industrials,consumer discretionary,consumer discretionary,consumer discretionary,energy,consumer discretionary,consumer staples
oil & gas e&p,internet retail,information technology services,internet retail,marine shipping,diagnostics & research,energy,consumer discretionary,technology,consumer discretionary,industrials,consumer discretionary,healthcare
healthcare plans,consulting services,insurance brokers,consulting services,asset management,lodging,healthcare,industrials,financials,industrials,financials,industrials,consumer discretionary
insurance—life,banks,insurance—property & casualty,banks,oil & gas e&p,integrated freight & logistics,financials,financials,financials,financials,energy,financials,industrials
software—application,oil & gas midstream,internet retail,oil & gas midstream,engineering & construction,grocery stores,technology,energy,consumer discretionary,energy,industrials,energy,consumer staples
credit services,healthcare plans,specialty chemicals,healthcare plans,asset management,packaged foods,financials,healthcare,basic materials,healthcare,financials,healthcare,consumer staples
drug manufacturers—general,semiconductor equipment & materials,capital markets,semiconductor equipment & materials,asset management,agricultural inputs,healthcare,technology,financials,technology,financials,technology,basic materials
farm & heavy construction machinery,banks,real estate—diversified,banks,financial data & stock exchanges,semiconductor equipment & materials,industrials,financials,real estate,financials,financials,financials,technology
semiconductors,auto manufacturers,asset management,auto manufacturers,rental & leasing services,beverages—non-alcoholic,technology,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,consumer staples
software—application,capital markets,banks,capital markets,other industrial metals & mining,packaged foods,technology,financials,financials,financials,basic materials,financials,consumer staples
insurance brokers,utilities—diversified,credit services,utilities—diversified,"furnishings, fixtures & appliances",medical instruments & supplies,financials,utilities,financials,utilities,consumer discretionary,utilities,healthcare
aerospace & defense,building products & equipment,reit—office,building products & equipment,asset management,waste management,industrials,industrials,real estate,industrials,financials,industrials,industrials
telecom services,drug manufacturers—general,conglomerates,drug manufacturers—general,internet content & information,home improvement retail,communication services,healthcare,industrials,healthcare,communication services,healthcare,consumer discretionary
railroads,beverages—non-alcoholic,gambling,beverages—non-alcoholic,gold,consumer electronics,industrials,consumer staples,consumer discretionary,consumer staples,basic materials,consumer staples,technology
copper,staffing & employment services,specialty chemicals,staffing & employment services,drug manufacturersgeneral,household & personal products,basic materials,industrials,basic materials,industrials,healthcare,industrials,consumer staples
discount stores,telecom services,utilities—independent power producers,telecom services,softwareapplication,oil & gas midstream,consumer staples,communication services,utilities,communication services,technology,communication services,energy
banks,beverages—brewers,utilities—regulated gas,beverages—brewers,reitretail,electronic components,financials,consumer staples,utilities,consumer staples,real estate,consumer staples,technology
oil & gas e&p,beverages—brewers,auto parts,beverages—brewers,specialty retail,gold,energy,consumer staples,consumer discretionary,consumer staples,consumer discretionary,consumer staples,basic materials
diagnostics & research,railroads,banks,railroads,biotechnology,insurance—life,healthcare,industrials,financials,industrials,healthcare,industrials,financials
other industrial metals & mining,oil & gas refining & marketing,banks,oil & gas refining & marketing,asset management,reit—retail,basic materials,energy,financials,energy,financials,energy,real estate
biotechnology,insurance—diversified,medical care facilities,insurance—diversified,packaged foods,banks,healthcare,financials,healthcare,financials,consumer staples,financials,financials
aerospace & defense,discount stores,utilities—diversified,discount stores,specialty retail,grocery stores,industrials,consumer staples,utilities,consumer staples,consumer discretionary,consumer staples,consumer staples
insurance—diversified,software—infrastructure,infrastructure operations,software—infrastructure,packaged foods,medical instruments & supplies,financials,technology,industrials,technology,consumer staples,technology,healthcare
utilities—diversified,internet content & information,healthcare plans,internet content & information,restaurants,consulting services,utilities,communication services,healthcare,communication services,consumer discretionary,communication services,industrials
utilities—diversified,auto manufacturers,specialty chemicals,auto manufacturers,waste management,medical instruments & supplies,utilities,consumer discretionary,basic materials,consumer discretionary,industrials,consumer discretionary,healthcare
banks,diagnostics & research,textile manufacturing,diagnostics & research,asset management,oil & gas refining & marketing,financials,healthcare,consumer discretionary,healthcare,financials,healthcare,energy
telecom services,financial data & stock exchanges,packaged foods,financial data & stock exchanges,asset management,beverages—wineries & distilleries,communication services,financials,consumer staples,financials,financials,financials,consumer staples
reit—industrial,consulting services,consulting services,consulting services,auto parts,software—application,real estate,industrials,industrials,industrials,consumer discretionary,industrials,technology
banks,chemicals,insurance—diversified,chemicals,asset management,auto manufacturers,financials,basic materials,financials,basic materials,financials,basic materials,consumer discretionary
banks,utilities—diversified,oil & gas e&p,utilities—diversified,medical care facilities,software—infrastructure,financials,utilities,energy,utilities,healthcare,utilities,technology
information technology services,oil & gas e&p,rental & leasing services,oil & gas e&p,specialty chemicals,packaged foods,technology,energy,industrials,energy,basic materials,energy,consumer staples
utilities—diversified,banks,waste management,banks,asset management,specialty chemicals,utilities,financials,industrials,financials,financials,financials,basic materials
staffing & employment services,apparel retail,utilities—renewable,apparel retail,integrated freight & logistics,waste management,industrials,consumer discretionary,utilities,consumer discretionary,industrials,consumer discretionary,industrials
drug manufacturers—general,semiconductors,restaurants,semiconductors,asset management,aerospace & defense,healthcare,technology,consumer discretionary,technology,financials,technology,industrials
specialty chemicals,semiconductors,restaurants,semiconductors,steel,utilities—diversified,basic materials,technology,consumer discretionary,technology,basic materials,technology,utilities
biotechnology,conglomerates,banks,conglomerates,real estatedevelopment,telecom services,healthcare,industrials,financials,industrials,real estate,industrials,communication services
specialty industrial machinery,oil & gas integrated,beverages—brewers,oil & gas integrated,marine shipping,packaged foods,industrials,energy,consumer staples,energy,industrials,energy,consumer staples
insurance—property & casualty,auto manufacturers,capital markets,auto manufacturers,asset management,software—application,financials,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
banks,telecom services,drug manufacturers—specialty & generic,telecom services,reitdiversified,banks,financials,communication services,healthcare,communication services,real estate,communication services,financials
electrical equipment & parts,auto parts,engineering & construction,auto parts,asset management,internet content & information,industrials,consumer discretionary,industrials,consumer discretionary,financials,consumer discretionary,communication services
waste management,auto manufacturers,communication equipment,auto manufacturers,asset management,insurance—reinsurance,industrials,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,financials
banks,aerospace & defense,drug manufacturers—specialty & generic,aerospace & defense,insurancespecialty,railroads,financials,industrials,healthcare,industrials,financials,industrials,industrials
banks,credit services,reit—retail,credit services,asset management,drug manufacturers—general,financials,financials,real estate,financials,financials,financials,healthcare
banks,insurance—property & casualty,department stores,insurance—property & casualty,electronic gaming & multimedia,insurance—property & casualty,financials,financials,consumer discretionary,financials,communication services,financials,financials
reit—specialty,farm products,biotechnology,farm products,biotechnology,specialty industrial machinery,real estate,consumer staples,healthcare,consumer staples,healthcare,consumer staples,industrials
gold,utilities—regulated electric,capital markets,utilities—regulated electric,specialty industrial machinery,specialty industrial machinery,basic materials,utilities,financials,utilities,industrials,utilities,industrials
auto manufacturers,other industrial metals & mining,electronic gaming & multimedia,other industrial metals & mining,electrical equipment & parts,specialty industrial machinery,consumer discretionary,basic materials,communication services,basic materials,industrials,basic materials,industrials
household & personal products,electronic components,telecom services,electronic components,asset management,oil & gas refining & marketing,consumer staples,technology,communication services,technology,financials,technology,energy
utilities—diversified,travel services,specialty retail,travel services,health information services,electronic gaming & multimedia,utilities,consumer discretionary,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,communication services
software—application,specialty chemicals,capital markets,specialty chemicals,asset management,banks,technology,basic materials,financials,basic materials,financials,basic materials,financials
leisure,oil & gas e&p,aerospace & defense,oil & gas e&p,softwareinfrastructure,medical instruments & supplies,consumer discretionary,energy,industrials,energy,technology,energy,healthcare
semiconductors,software—infrastructure,resorts & casinos,software—infrastructure,asset management,restaurants,technology,technology,consumer discretionary,technology,financials,technology,consumer discretionary
marine shipping,aerospace & defense,utilities—independent power producers,aerospace & defense,capital markets,drug manufacturers—general,industrials,industrials,utilities,industrials,financials,industrials,healthcare
chemicals,diagnostics & research,other industrial metals & mining,diagnostics & research,aerospace & defense,information technology services,basic materials,healthcare,basic materials,healthcare,industrials,healthcare,technology
integrated freight & logistics,internet retail,medical care facilities,internet retail,real estate services,reit—specialty,industrials,consumer discretionary,healthcare,consumer discretionary,real estate,consumer discretionary,real estate
medical devices,specialty industrial machinery,engineering & construction,specialty industrial machinery,building products & equipment,discount stores,healthcare,industrials,industrials,industrials,industrials,industrials,consumer staples
utilities—diversified,packaged foods,airlines,packaged foods,asset management,banks,utilities,consumer staples,industrials,consumer staples,financials,consumer staples,financials
software—application,healthcare plans,banks,healthcare plans,household & personal products,farm & heavy construction machinery,technology,healthcare,financials,healthcare,consumer staples,healthcare,industrials
insurance—life,staffing & employment services,broadcasting,staffing & employment services,asset management,broadcasting,financials,industrials,communication services,industrials,financials,industrials,communication services
auto manufacturers,auto manufacturers,insurance—property & casualty,auto manufacturers,asset management,computer hardware,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,consumer discretionary,technology
utilities—diversified,conglomerates,reit—healthcare facilities,conglomerates,asset management,banks,utilities,industrials,real estate,industrials,financials,industrials,financials
building products & equipment,reit—retail,computer hardware,reit—retail,asset management,oil & gas equipment & services,industrials,real estate,technology,real estate,financials,real estate,energy
drug manufacturers—general,semiconductors,grocery stores,semiconductors,asset management,                                        oil & gas integrated                                    ,healthcare,technology,consumer staples,technology,financials,technology,                                        energy                                    
beverages—non-alcoholic,apparel retail,asset management,apparel retail,specialty business services,medical instruments & supplies,consumer staples,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,healthcare
staffing & employment services,chemicals,packaging & containers,chemicals,asset management,insurance—life,industrials,basic materials,consumer discretionary,basic materials,financials,basic materials,financials
telecom services,oil & gas integrated,aerospace & defense,oil & gas integrated,advertising agencies,chemicals,communication services,energy,industrials,energy,communication services,energy,basic materials
beverages—brewers,medical distribution,advertising agencies,medical distribution,asset management,specialty chemicals,consumer staples,healthcare,communication services,healthcare,financials,healthcare,basic materials
beverages—brewers,oil & gas integrated,auto parts,oil & gas integrated,medical care facilities,internet retail,consumer staples,energy,consumer discretionary,energy,healthcare,energy,consumer discretionary
railroads,software—infrastructure,consumer electronics,software—infrastructure,marine shipping,grocery stores,industrials,technology,technology,technology,industrials,technology,consumer staples
oil & gas refining & marketing,engineering & construction,specialty industrial machinery,engineering & construction,asset management,asset management,energy,industrials,industrials,industrials,financials,industrials,financials
insurance—diversified,specialty retail,software—infrastructure,specialty retail,asset management,oil & gas e&p,financials,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,energy
discount stores,other industrial metals & mining,banks,other industrial metals & mining,biotechnology,telecom services,consumer staples,basic materials,financials,basic materials,healthcare,basic materials,communication services
software—infrastructure,software—infrastructure,oil & gas equipment & services,software—infrastructure,beverageswineries & distilleries,financial data & stock exchanges,technology,technology,energy,technology,consumer staples,technology,financials
internet content & information,internet content & information,drug manufacturers—general,internet content & information,credit services,oil & gas integrated,communication services,communication services,healthcare,communication services,financials,communication services,energy
auto manufacturers,software—application,diagnostics & research,software—application,asset management,auto parts,consumer discretionary,technology,healthcare,technology,financials,technology,consumer discretionary
diagnostics & research,insurance—life,software—application,insurance—life,leisure,specialty industrial machinery,healthcare,financials,technology,financials,consumer discretionary,financials,industrials
financial data & stock exchanges,specialty industrial machinery,beverages—brewers,specialty industrial machinery,asset management,insurance—diversified,financials,industrials,consumer staples,industrials,financials,industrials,financials
consulting services,information technology services,software—application,information technology services,oil & gas e&p,specialty industrial machinery,industrials,technology,technology,technology,energy,technology,industrials
chemicals,steel,other industrial metals & mining,steel,capital markets,telecom services,basic materials,basic materials,basic materials,basic materials,financials,basic materials,communication services
utilities—diversified,diagnostics & research,entertainment,diagnostics & research,oil & gas e&p,real estate—development,utilities,healthcare,communication services,healthcare,energy,healthcare,real estate
oil & gas e&p,banks,capital markets,banks,asset management,communication equipment,energy,financials,financials,financials,financials,financials,technology
banks,specialty industrial machinery,telecom services,specialty industrial machinery,asset management,specialty chemicals,financials,industrials,communication services,industrials,financials,industrials,basic materials
apparel retail,footwear & accessories,software—infrastructure,footwear & accessories,information technology services,real estate—development,consumer discretionary,consumer discretionary,technology,consumer discretionary,technology,consumer discretionary,real estate
semiconductors,specialty chemicals,drug manufacturers—specialty & generic,specialty chemicals,asset management,grocery stores,technology,basic materials,healthcare,basic materials,financials,basic materials,consumer staples
semiconductors,internet content & information,software—application,internet content & information,asset management,oil & gas integrated,technology,communication services,technology,communication services,financials,communication services,energy
conglomerates,drug manufacturers—specialty & generic,real estate services,drug manufacturers—specialty & generic,reitindustrial,banks,industrials,healthcare,real estate,healthcare,real estate,healthcare,financials
oil & gas integrated,confectioners,information technology services,confectioners,asset management,asset management,energy,consumer staples,technology,consumer staples,financials,consumer staples,financials
auto manufacturers,electronic components,household & personal products,electronic components,asset management,real estate—development,consumer discretionary,technology,consumer staples,technology,financials,technology,real estate
telecom services,residential construction,utilities—diversified,residential construction,asset management,railroads,communication services,consumer discretionary,utilities,consumer discretionary,financials,consumer discretionary,industrials
auto parts,telecom services,semiconductors,telecom services,asset management,specialty industrial machinery,consumer discretionary,communication services,technology,communication services,financials,communication services,industrials
auto manufacturers,diagnostics & research,packaged foods,diagnostics & research,specialty chemicals,integrated freight & logistics,consumer discretionary,healthcare,consumer staples,healthcare,basic materials,healthcare,industrials
aerospace & defense,insurance—property & casualty,medical instruments & supplies,insurance—property & casualty,building materials,credit services,industrials,financials,healthcare,financials,basic materials,financials,financials
credit services,semiconductors,airlines,semiconductors,electronic gaming & multimedia,farm products,financials,technology,industrials,technology,communication services,technology,consumer staples
insurance—property & casualty,beverages—wineries & distilleries,banks,beverages—wineries & distilleries,residential construction,oil & gas equipment & services,financials,consumer staples,financials,consumer staples,consumer discretionary,consumer staples,energy
farm products,software—application,insurance—diversified,software—application,security & protection services,asset management,consumer staples,technology,financials,technology,industrials,technology,financials
utilities—regulated electric,oil & gas e&p,engineering & construction,oil & gas e&p,uranium,telecom services,utilities,energy,industrials,energy,energy,energy,communication services
other industrial metals & mining,other industrial metals & mining,beverages—brewers,other industrial metals & mining,asset management,reit—residential,basic materials,basic materials,consumer staples,basic materials,financials,basic materials,real estate
electronic components,oil & gas integrated,semiconductor equipment & materials,oil & gas integrated,asset management,biotechnology,technology,energy,technology,energy,financials,energy,healthcare
travel services,banks,household & personal products,banks,electronic components,insurance brokers,consumer discretionary,financials,consumer staples,financials,technology,financials,financials
specialty chemicals,electronic components,paper & paper products,electronic components,specialty chemicals,internet retail,basic materials,technology,basic materials,technology,basic materials,technology,consumer discretionary
oil & gas e&p,specialty retail,software—application,specialty retail,medical care facilities,consulting services,energy,consumer discretionary,technology,consumer discretionary,healthcare,consumer discretionary,industrials
software—infrastructure,diagnostics & research,other industrial metals & mining,diagnostics & research,softwareinfrastructure,airports & air services,technology,healthcare,basic materials,healthcare,technology,healthcare,industrials
aerospace & defense,specialty business services,solar,specialty business services,restaurants,                                        utilities—renewable                                    ,industrials,industrials,technology,industrials,consumer discretionary,industrials,                                        utilities                                    
diagnostics & research,software—application,capital markets,software—application,asset management,medical devices,healthcare,technology,financials,technology,financials,technology,healthcare
internet retail,restaurants,reit—residential,restaurants,residential construction,industrial distribution,consumer discretionary,consumer discretionary,real estate,consumer discretionary,consumer discretionary,consumer discretionary,industrials
specialty industrial machinery,banks,insurance—reinsurance,banks,biotechnology,asset management,industrials,financials,financials,financials,healthcare,financials,financials
packaged foods,biotechnology,diagnostics & research,biotechnology,packaged foods,                                        steel                                    ,consumer staples,healthcare,healthcare,healthcare,consumer staples,healthcare,                                        basic materials                                    
healthcare plans,information technology services,aluminum,information technology services,gambling,beverages—brewers,healthcare,technology,basic materials,technology,consumer discretionary,technology,consumer staples
staffing & employment services,gold,insurance—diversified,gold,gold,banks,industrials,basic materials,financials,basic materials,basic materials,basic materials,financials
auto manufacturers,computer hardware,tobacco,computer hardware,asset management,utilities—regulated electric,consumer discretionary,technology,consumer staples,technology,financials,technology,utilities
banks,banks,insurance—life,banks,drug manufacturersspecialty & generic,oil & gas midstream,financials,financials,financials,financials,healthcare,financials,energy
reit—retail,reit—retail,engineering & construction,reit—retail,asset management,trucking,real estate,real estate,industrials,real estate,financials,real estate,industrials
insurance—life,insurance—life,telecom services,insurance—life,biotechnology,real estate—development,financials,financials,communication services,financials,healthcare,financials,real estate
gold,gold,insurance—diversified,gold,building products & equipment,restaurants,basic materials,basic materials,financials,basic materials,industrials,basic materials,consumer discretionary
electronic components,electronic components,oil & gas midstream,electronic components,specialty business services,oil & gas integrated,technology,technology,energy,technology,industrials,technology,energy
oil & gas midstream,oil & gas midstream,consumer electronics,oil & gas midstream,asset management,reit—residential,energy,energy,technology,energy,financials,energy,real estate
household & personal products,household & personal products,telecom services,household & personal products,asset management,insurance—diversified,consumer staples,consumer staples,communication services,consumer staples,financials,consumer staples,financials
consumer electronics,consumer electronics,medical devices,consumer electronics,asset management,scientific & technical instruments,technology,technology,healthcare,technology,financials,technology,technology
home improvement retail,home improvement retail,utilities—regulated electric,home improvement retail,internet content & information,telecom services,consumer discretionary,consumer discretionary,utilities,consumer discretionary,communication services,consumer discretionary,communication services
waste management,waste management,leisure,waste management,real estatediversified,household & personal products,industrials,industrials,consumer discretionary,industrials,real estate,industrials,consumer staples
medical instruments & supplies,medical instruments & supplies,banks,medical instruments & supplies,consumer electronics,internet content & information,healthcare,healthcare,financials,healthcare,technology,healthcare,communication services
packaged foods,packaged foods,conglomerates,packaged foods,beveragesnon-alcoholic,oil & gas midstream,consumer staples,consumer staples,industrials,consumer staples,consumer staples,consumer staples,energy
beverages—non-alcoholic,beverages—non-alcoholic,oil & gas integrated,beverages—non-alcoholic,medical instruments & supplies,grocery stores,consumer staples,consumer staples,energy,consumer staples,healthcare,consumer staples,consumer staples
semiconductor equipment & materials,semiconductor equipment & materials,travel services,semiconductor equipment & materials,asset management,health information services,technology,technology,consumer discretionary,technology,financials,technology,healthcare
agricultural inputs,agricultural inputs,software—application,agricultural inputs,asset management,communication equipment,basic materials,basic materials,technology,basic materials,financials,basic materials,technology
packaged foods,packaged foods,scientific & technical instruments,packaged foods,engineering & construction,auto manufacturers,consumer staples,consumer staples,technology,consumer staples,industrials,consumer staples,consumer discretionary
grocery stores,grocery stores,information technology services,grocery stores,publishing,asset management,consumer staples,consumer staples,technology,consumer staples,communication services,consumer staples,financials
integrated freight & logistics,integrated freight & logistics,software—application,integrated freight & logistics,banks,utilities—diversified,industrials,industrials,technology,industrials,financials,industrials,utilities
lodging,lodging,semiconductors,lodging,mortgage finance,building materials,consumer discretionary,consumer discretionary,technology,consumer discretionary,financials,consumer discretionary,basic materials
