08-slytherin-industry,00-avengers-company_business,04-iGMM-company_business
"['healthcare', 'medical equipment', 'healthcare technology and information']","['healthcare', 'medical equipment', 'healthcare technology and information']","['financial services', 'asset management', 'investments']"
"['financial services', 'banking services']","['software and it', 'cloud services', 'technology hardware and instruments', 'technology']","['basic materials', 'paper and pulp']"
"['software and it', 'cloud services', 'technology hardware and instruments', 'technology']","['financial services', 'banking services']","['software and it', 'education', 'technology']"
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['technology', 'software and it', 'network hardware and software', 'software products', 'software and it infrastructure']","['technology', 'software and it', 'network hardware and software']"
"['technology', 'software and it', 'network hardware and software', 'software products', 'software and it infrastructure']","['communication services', 'media', 'broadcasting', 'television services', 'telecom', 'entertainment', 'video games / mobile games / tech games / casino games', 'music, movies & posters', 'advertising', 'movies / entertainment', 'entertainment', 'music']","['financial services', 'investments', 'stock markets, trading, capital markets']"
"['technology', 'software and it', 'computers hardware', 'cloud services', 'networking products / solutions', 'software products', 'software and it infrastructure', 'technology hardware and instruments']","['consumer defensive', 'food products', 'fmcg', 'package foods']","['healthcare', 'biotechnology', 'pharmaceutical']"
"['energy', 'oil and gas', 'petroleum', 'natural gas generation']","['healthcare', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'pharmaceutical']","['technology', 'software and it', 'computers hardware']"
"['healthcare', 'biopharmaceutical', 'biotechnology', 'healthcare products', 'pharmaceutical']","['consumer cyclical', 'consumer non durables', 'gaming', 'toys', 'leisure', 'entertainment']","['energy', 'oil and gas', 'petroleum']"
"['healthcare', 'biotechnology', 'pharmaceutical']","['financial services', 'banking services']","['financial services', 'banking services']"
"['financial services', 'banking services']","['energy', 'oil and gas', 'petroleum', 'natural gas generation']","['consumer cyclical', 'consumer non durables', 'gaming']"
"['financial services', 'investments', 'stock markets, trading, capital markets', 'brokerage services', 'technology']","['technology', 'software and it', 'computers hardware', 'cloud services', 'networking products / solutions', 'software products', 'software and it infrastructure', 'technology hardware and instruments']","['healthcare', 'biopharmaceutical', 'biotechnology']"
"['consumer cyclical', 'consumer non durables', 'gaming', 'toys', 'leisure', 'entertainment']","['healthcare', 'biotechnology', 'pharmaceutical']","['consumer defensive', 'food products', 'fmcg']"
"['communication services', 'media', 'broadcasting', 'television services', 'telecom', 'entertainment', 'video games / mobile games / tech games / casino games', 'music, movies & posters', 'advertising', 'movies / entertainment', 'entertainment', 'music']","['financial services', 'investments', 'stock markets, trading, capital markets', 'brokerage services', 'technology']","['communication services', 'media', 'broadcasting']"
"['industries', 'infrastructure']","['basic materials', 'mining', 'gold mining', 'precious metals', 'copper mining', 'metals']","['basic materials', 'mining', 'gold mining']"
"['basic materials', 'mining', 'gold mining', 'precious metals', 'copper mining', 'metals']","['industries', 'electronics', 'electrical products', 'refrigerators', 'industry machinery']","['industries', 'trucks', 'commercial vehicles']"
"['consumer cyclical', 'retail', 'consumer services']","['healthcare', 'biotechnology', 'medical equipment', 'technology', 'healthcare products']","['communication services', 'telecom', 'utilities']"
"['technology', 'software and it', 'cloud services', 'software products']","['basic materials', 'cement', 'construction materials']","['industries', 'infrastructure']"
"['communication services', 'telecom', 'utilities', 'internet providers', 'telecom equipment', 'television services']","['consumer cyclical', 'retail', 'consumer services']","['industries', 'transportation', 'freight transport']"
"['industries', 'transportation', 'freight transport', 'logistics', 'oil refining']","['technology', 'software and it', 'cloud services', 'software products']","['technology', 'software and it', 'cloud services']"
"['industries', 'trucks', 'commercial vehicles', 'electric vehicles', 'heavy machinery']","['industries', 'transportation', 'freight transport', 'logistics', 'oil refining']","['consumer cyclical', 'retail', 'consumer services']"
"['industries', 'electronics', 'electrical products', 'refrigerators', 'industry machinery']","['industries', 'infrastructure']","['basic materials', 'cement', 'construction materials']"
"['healthcare', 'biotechnology', 'medical equipment', 'technology', 'healthcare products']","['communication services', 'telecom', 'utilities', 'internet providers', 'telecom equipment', 'television services']","['healthcare', 'biotechnology', 'medical equipment']"
"['basic materials', 'cement', 'construction materials']","['industries', 'trucks', 'commercial vehicles', 'electric vehicles', 'heavy machinery']","['industries', 'electronics', 'electrical products']"
"['consumer cyclical', 'consumer durables', 'packaging']","['consumer cyclical', 'consumer durables', 'packaging']","['consumer cyclical', 'consumer durables', 'packaging']"
"['healthcare', 'healthcare service', 'hospitals']","['basic materials', 'chemicals']","['consumer cyclical', 'home furnishing', 'furniture']"
"['consumer cyclical', 'home furnishing', 'furniture']","['real estate', 'construction']","['healthcare', 'healthcare service', 'hospitals']"
"['fashion and luxury goods', 'ecommerce', 'apparels and accessories', 'retail']","['technology', 'electronics', 'mobiles & accessories', 'air conditioners', 'refrigerators', ""tv's"", 'washing machines', 'electronics', 'semiconductors']","['financial services', 'banking services']"
"['consumer defensive', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'dairy products', 'food products', 'fmcg', 'package foods']","['utilities', 'energy', 'gas utilities']","['fashion and luxury goods', 'ecommerce', 'apparels and accessories']"
"['utilities', 'energy', 'gas utilities']","['consumer defensive', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'dairy products', 'food products', 'fmcg', 'package foods']","['consumer defensive', 'food and beverage', 'beverages']"
"['financial services', 'banking services']","['fashion and luxury goods', 'ecommerce', 'apparels and accessories', 'retail']","['utilities', 'energy', 'gas utilities']"
"['basic materials', 'chemicals']","['financial services', 'banking services']","['technology', 'electronics', 'mobiles & accessories']"
"['technology', 'electronics', 'mobiles & accessories', 'air conditioners', 'refrigerators', ""tv's"", 'washing machines', 'electronics', 'semiconductors']","['healthcare', 'healthcare service', 'hospitals']","['real estate', 'construction']"
"['real estate', 'construction']","['consumer cyclical', 'home furnishing', 'furniture']","['basic materials', 'chemicals']"
"['industries', 'construction', 'infrastructure', 'telecom', 'media', 'transportation', 'real estate', 'conglomerate', 'construction', 'advertising', 'multi-sector']","['communication services', 'telecom', 'mobile services', 'fixed line service', 'television services', 'utilities', 'telecom equipment', 'internet providers']","['communication services', 'telecom', 'mobile services']"
"['technology', 'electronics', 'laptops', 'computers hardware', 'mobiles & accessories', 'consumer electronics', 'desktops', ""tv's""]","['real estate', 'consumer services', 'property investments']","['industries', 'construction', 'infrastructure']"
"['real estate', 'consumer services', 'property investments']","['industries', 'capital goods', 'industry machinery', 'machinery manufacturing']","['consumer defensive', 'fmcg', 'beverages']"
"['industries', 'railway', 'transportation', 'industry machinery']","['real estate', 'consumer services', 'property investments']","['financial services', 'conglomerate']"
"['industries', 'capital goods', 'industry machinery', 'machinery manufacturing']","['technology', 'electronics', 'laptops', 'computers hardware', 'mobiles & accessories', 'consumer electronics', 'desktops', ""tv's""]","['financial services', 'asset management', 'investments']"
"['financial services', 'conglomerate']","['industries', 'railway', 'transportation', 'industry machinery']","['industries', 'railway', 'transportation']"
"['financial services', 'asset management', 'investments', 'securities', 'banking services', 'stock markets, trading, capital markets']","['financial services', 'asset management', 'investments', 'securities', 'banking services', 'stock markets, trading, capital markets']","['technology', 'electronics', 'laptops']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'television services', 'utilities', 'telecom equipment', 'internet providers']","['financial services', 'conglomerate']","['real estate', 'consumer services', 'property investments']"
"['consumer defensive', 'fmcg', 'beverages', 'non-alcoholic beverages', 'beauty and personal care', 'food products', 'healthcare products']","['consumer defensive', 'fmcg', 'beverages', 'non-alcoholic beverages', 'beauty and personal care', 'food products', 'healthcare products']","['industries', 'capital goods', 'industry machinery']"
"['real estate', 'consumer services', 'property investments']","['industries', 'construction', 'infrastructure', 'telecom', 'media', 'transportation', 'real estate', 'conglomerate', 'construction', 'advertising', 'multi-sector']","['real estate', 'consumer services', 'property investments']"
"['financial services', 'banking services']","['consumer defensive', 'fmcg', 'food products', 'consumer non durables', 'package foods']","['consumer defensive', 'fmcg', 'food products']"
"['technology', 'electronics', 'computers hardware', 'technology hardware and instruments']","['financial services', 'banking services']","['consumer cyclical', 'automobile']"
"['consumer cyclical', 'electronics', 'electrical products', 'consumer durables', 'home appliances', 'refrigerators', 'air conditioners', 'home furnishing']","['industries', 'home care products', 'home cleaning accessories', 'business services']","['consumer cyclical', 'electronics', 'electrical products']"
"['consumer cyclical', 'automobile', 'automobile parts']","['consumer cyclical', 'construction materials', 'home improvement', 'home furnishing']","['consumer cyclical', 'automobile', 'automobile parts']"
"['consumer defensive', 'fmcg', 'food products', 'consumer non durables', 'package foods']","['industries', 'industry machinery', 'engineering products', 'semiconductors']","['technology', 'electronics', 'computers hardware']"
"['consumer cyclical', 'construction materials', 'home improvement', 'home furnishing']","['industries', 'real estate', 'rent / lease services', 'logistics', 'consumer services']","['industries', 'real estate', 'rent / lease services']"
"['consumer cyclical', 'automobile']","['technology', 'electronics', 'computers hardware', 'technology hardware and instruments']","['industries', 'industry machinery', 'engineering products']"
"['industries', 'home care products', 'home cleaning accessories', 'business services']","['consumer cyclical', 'automobile', 'automobile parts']","['consumer cyclical', 'construction materials', 'home improvement']"
"['industries', 'industry machinery', 'engineering products', 'semiconductors']","['consumer cyclical', 'electronics', 'electrical products', 'consumer durables', 'home appliances', 'refrigerators', 'air conditioners', 'home furnishing']","['industries', 'home care products', 'home cleaning accessories']"
"['industries', 'real estate', 'rent / lease services', 'logistics', 'consumer services']","['consumer cyclical', 'automobile']","['financial services', 'banking services']"
"['real estate', 'investments', 'property investments']","['technology', 'power equipment', 'solar power devices']","['real estate', 'investments', 'property investments']"
"['financial services', 'banking services', 'asset management', 'brokerage services', 'investments', 'securities', 'stock markets, trading, capital markets']","['real estate', 'investments', 'property investments']","['technology', 'power equipment', 'solar power devices']"
"['industries', 'airlines', 'aviation', 'transportation']","['industries', 'airlines', 'aviation', 'transportation']","['basic materials', 'chemicals', 'agriculture related']"
"['financial services', 'investments', 'asset management']","['healthcare', 'biotechnology']","['financial services', 'investments', 'asset management']"
"['online food delivery', 'internet or mobile app based business', 'food service', 'technology', 'retail', 'ecommerce']","['consumer defensive', 'agriculture related', 'fmcg', 'food products', 'consumer non durables', 'farming / seeds / milling']","['financial services', 'banking services', 'asset management']"
"['technology', 'power equipment', 'solar power devices']","['logistics', 'shipping', 'freight transport']","['online food delivery', 'internet or mobile app based business', 'food service']"
"['healthcare', 'biotechnology']","['online food delivery', 'internet or mobile app based business', 'food service', 'technology', 'retail', 'ecommerce']","['logistics', 'shipping', 'freight transport']"
"['consumer defensive', 'agriculture related', 'fmcg', 'food products', 'consumer non durables', 'farming / seeds / milling']","['financial services', 'banking services', 'asset management', 'brokerage services', 'investments', 'securities', 'stock markets, trading, capital markets']","['consumer defensive', 'agriculture related', 'fmcg']"
"['logistics', 'shipping', 'freight transport']","['financial services', 'investments', 'asset management']","['industries', 'airlines', 'aviation']"
"['basic materials', 'chemicals', 'agriculture related']","['basic materials', 'chemicals', 'agriculture related']","['healthcare', 'biotechnology']"
"['technology', 'software and it', 'software products']","['healthcare', 'pharmaceutical', 'healthcare products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['retail', 'energy']","['retail', 'energy']","['technology', 'software and it', 'software products']"
"['financial services', 'banking services']","['basic materials', 'chemicals', 'pharmaceutical', 'medical equipment', 'electronics', 'construction materials']","['industries', 'airports operating', 'infrastructure']"
"['industries', 'airports operating', 'infrastructure']","['consumer defensive', 'beverages', 'food and beverage', 'alcoholic beverages']","['technology', 'software and it', 'software products']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['basic materials', 'cement', 'construction materials', 'chemicals']","['real estate', 'consumer services', 'property investments']"
"['basic materials', 'chemicals', 'pharmaceutical', 'medical equipment', 'electronics', 'construction materials']","['financial services', 'banking services']","['financial services', 'banking services']"
"['consumer defensive', 'beverages', 'food and beverage', 'alcoholic beverages']","['real estate', 'consumer services', 'property investments']","['basic materials', 'cement', 'construction materials']"
"['technology', 'software and it', 'software products']","['technology', 'software and it', 'software products']","['consumer defensive', 'beverages', 'food and beverage']"
"['basic materials', 'cement', 'construction materials', 'chemicals']","['industries', 'airports operating', 'infrastructure']","['basic materials', 'chemicals', 'pharmaceutical']"
"['real estate', 'consumer services', 'property investments']","['technology', 'software and it', 'software products']","['retail', 'energy']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['industries', 'forest products', 'building products and equipment']","['industries', 'forest products', 'building products and equipment']"
"['financial services', 'banking services', 'asset management']","['financial services', 'investments', 'stock markets, trading, capital markets']","['financial services', 'investments', 'asset management']"
"['technology', 'electronics', 'technology hardware and instruments', 'capital goods']","['financial services', 'banking services', 'asset management']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['technology', 'semiconductors', 'processors / chips', 'technology hardware and instruments']","['communication services', 'media', 'advertising', 'paper and pulp', 'consumer services', 'news papers / magazines', 'media', 'broadcasting']","['basic materials', 'chemicals', 'fertilizers']"
"['basic materials', 'chemicals', 'fertilizers', 'agriculture related']","['technology', 'semiconductors', 'processors / chips', 'technology hardware and instruments']","['financial services', 'software and it', 'software products']"
"['communication services', 'media', 'advertising', 'paper and pulp', 'consumer services', 'news papers / magazines', 'media', 'broadcasting']","['technology', 'electronics', 'technology hardware and instruments', 'capital goods']","['technology', 'electronics', 'technology hardware and instruments']"
"['financial services', 'investments', 'stock markets, trading, capital markets']","['financial services', 'software and it', 'software products', 'stock markets, trading, capital markets', 'trading']","['technology', 'semiconductors', 'processors / chips']"
"['financial services', 'software and it', 'software products', 'stock markets, trading, capital markets', 'trading']","['basic materials', 'chemicals', 'fertilizers', 'agriculture related']","['communication services', 'media', 'advertising']"
"['financial services', 'investments', 'asset management']","['healthcare', 'pharmaceutical', 'healthcare products']","['financial services', 'banking services', 'asset management']"
"['industries', 'forest products', 'building products and equipment']","['financial services', 'investments', 'asset management']","['financial services', 'investments', 'stock markets, trading, capital markets']"
"['real estate', 'commercial properties', 'investments', 'property investments', 'residential properties']","['utilities', 'electric utilities', 'electricity generation']","['utilities', 'electric utilities', 'electricity generation']"
"['industries', 'food service', 'coupons / vouchers / gift cards', 'food products', 'consumer services', 'facility support services', 'business services']","['energy', 'mining', 'iron and steel', 'metals', 'metal fabrication products', 'metal fabrication products', 'oil and gas equipment and services', 'oil and gas']","['industries', 'food service', 'coupons / vouchers / gift cards']"
"['utilities', 'electric utilities', 'electricity generation']","['casinos', 'betting', 'entertainment', 'gaming', 'gambling', 'sports related']","['real estate', 'commercial properties', 'investments']"
"['casinos', 'betting', 'entertainment', 'gaming', 'gambling', 'sports related']","['financial services', 'investments', 'stock markets, trading, capital markets']","['technology', 'trading', 'stock markets, trading, capital markets']"
"['energy', 'mining', 'iron and steel', 'metals', 'metal fabrication products', 'metal fabrication products', 'oil and gas equipment and services', 'oil and gas']","['consumer cyclical', 'real estate', 'capital goods', 'construction']","['consumer cyclical', 'robotics', 'technology']"
"['consumer cyclical', 'robotics', 'technology', 'sensors', 'processors / chips', 'electronics', 'home furnishing']","['financial services', 'insurance']","['financial services', 'insurance']"
"['technology', 'trading', 'stock markets, trading, capital markets', 'brokerage services', 'financial services', 'software and it infrastructure']","['consumer cyclical', 'robotics', 'technology', 'sensors', 'processors / chips', 'electronics', 'home furnishing']","['consumer cyclical', 'real estate', 'capital goods']"
"['financial services', 'insurance']","['technology', 'trading', 'stock markets, trading, capital markets', 'brokerage services', 'financial services', 'software and it infrastructure']","['financial services', 'investments', 'stock markets, trading, capital markets']"
"['consumer cyclical', 'real estate', 'capital goods', 'construction']","['real estate', 'commercial properties', 'investments', 'property investments', 'residential properties']","['casinos', 'betting', 'entertainment']"
"['financial services', 'investments', 'stock markets, trading, capital markets']","['industries', 'food service', 'coupons / vouchers / gift cards', 'food products', 'consumer services', 'facility support services', 'business services']","['energy', 'mining', 'iron and steel']"
"['financial services', 'technology', 'software and it']","['industries', 'electronics', 'consumer durables', 'industry machinery', 'heating equipment']","['industries', 'electronics', 'consumer durables']"
"['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers']","['communication services', 'telecom', 'mobile services', 'fixed line service', 'internet providers']","['financial services', 'technology', 'software and it']"
"['technology', 'semiconductors', 'electronics', 'electrical products']","['digital payment solution services', 'software and it infrastructure', 'software and it', 'technology']","['financial services', 'asset management', 'insurance']"
"['digital payment solution services', 'software and it infrastructure', 'software and it', 'technology']","['technology', 'semiconductors', 'electronics', 'electrical products']","['basic materials', 'chemicals', 'petrochemicals']"
"['financial services', 'asset management', 'insurance', 'investments']","['consumer cyclical', 'bikes', 'automobile', 'scooters']","['industries', 'investments', 'conglomerate']"
"['healthcare', 'software and it', 'healthcare products', 'healthcare service', 'healthcare technology and information']","['healthcare', 'software and it', 'healthcare products', 'healthcare service', 'healthcare technology and information']","['healthcare', 'software and it', 'healthcare products']"
"['industries', 'electronics', 'consumer durables', 'industry machinery', 'heating equipment']","['industries', 'investments', 'conglomerate']","['consumer cyclical', 'bikes', 'automobile']"
"['consumer cyclical', 'bikes', 'automobile', 'scooters']","['basic materials', 'chemicals', 'petrochemicals']","['technology', 'semiconductors', 'electronics']"
"['basic materials', 'chemicals', 'petrochemicals']","['financial services', 'asset management', 'insurance', 'investments']","['digital payment solution services', 'software and it infrastructure', 'software and it']"
"['industries', 'investments', 'conglomerate']","['financial services', 'technology', 'software and it']","['communication services', 'telecom', 'mobile services']"
"['technology', 'pcb', 'electronics', 'capital goods']","['technology', 'software and it', 'software products']","['basic materials', 'chemicals', 'fertilizers']"
"['basic materials', 'cement', 'construction materials', 'energy', 'electricity generation', 'power generation']","['consumer defensive', 'fmcg', 'personal care products']","['consumer defensive', 'fmcg', 'personal care products']"
"['industries', 'capital goods', 'industry machinery', 'engineering products']","['basic materials', 'chemicals', 'fertilizers', 'agriculture related']","['technology', 'software and it', 'software products']"
"['basic materials', 'chemicals', 'fertilizers', 'agriculture related']","['technology', 'pcb', 'electronics', 'capital goods']","['technology', 'electronics', 'semiconductors']"
"['technology', 'software and it', 'software products']","['utilities', 'water utilities']","['industries', 'capital goods', 'industry machinery']"
"['basic materials', 'mining', 'coal mining', 'metals', 'zinc', 'aluminum', 'nickel', 'silver mining']","['basic materials', 'cement', 'construction materials', 'energy', 'electricity generation', 'power generation']","['consumer cyclical', 'consumer durables', 'packaging']"
"['consumer cyclical', 'consumer durables', 'packaging', 'packaging materials']","['basic materials', 'mining', 'coal mining', 'metals', 'zinc', 'aluminum', 'nickel', 'silver mining']","['basic materials', 'mining', 'coal mining']"
"['consumer defensive', 'fmcg', 'personal care products']","['consumer cyclical', 'consumer durables', 'packaging', 'packaging materials']","['basic materials', 'cement', 'construction materials']"
"['utilities', 'water utilities']","['industries', 'capital goods', 'industry machinery', 'engineering products']","['utilities', 'water utilities']"
"['technology', 'electronics', 'semiconductors', 'solar power devices']","['technology', 'electronics', 'semiconductors', 'solar power devices']","['technology', 'pcb', 'electronics']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology']","['real estate', 'consumer services', 'property investments']","['healthcare', 'biotechnology', 'technology']"
"['healthcare', 'biotechnology', 'technology', 'healthcare products', 'health care diagnostics']","['real estate', 'financial services']","['financial services', 'banking services', 'stock markets, trading, capital markets']"
"['consumer defensive', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer goods']","['consumer defensive', 'food and beverage', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer goods']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer defensive', 'agriculture products', 'chocolate & confectionery']","['communication services', 'software and it', 'telecom', 'network hardware and software', 'mobile services', 'fixed line service', 'internet providers', 'television services']","['consumer services', 'ride sharing', 'rent / lease services']"
"['technology', 'technology hardware and instruments', 'sensors', 'artificial intelligence']","['technology', 'technology hardware and instruments', 'sensors', 'artificial intelligence']","['consumer defensive', 'agriculture products', 'chocolate & confectionery']"
"['communication services', 'software and it', 'telecom', 'network hardware and software', 'mobile services', 'fixed line service', 'internet providers', 'television services']","['consumer defensive', 'agriculture products', 'chocolate & confectionery']","['technology', 'technology hardware and instruments', 'sensors']"
"['real estate', 'financial services']","['consumer services', 'ride sharing', 'rent / lease services', 'digital payment solution services']","['communication services', 'software and it', 'telecom']"
"['consumer services', 'ride sharing', 'rent / lease services', 'digital payment solution services']","['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology']","['consumer defensive', 'food and beverage', 'beverages']"
"['financial services', 'banking services', 'stock markets, trading, capital markets']","['financial services', 'banking services', 'stock markets, trading, capital markets']","['real estate', 'financial services']"
"['real estate', 'consumer services', 'property investments']","['healthcare', 'biotechnology', 'technology', 'healthcare products', 'health care diagnostics']","['real estate', 'consumer services', 'property investments']"
"['technology', 'computers hardware']","['real estate', 'property investments', 'commercial properties', 'investments', 'retail']","['technology', 'computers hardware']"
"['financial services', 'insurance']","['energy', 'coal mining', 'mining', 'metals']","['energy', 'coal mining', 'mining']"
"['basic materials', 'chemicals', 'batteries']","['technology', 'computers hardware']","['real estate', 'property investments', 'commercial properties']"
"['real estate', 'property investments', 'commercial properties', 'investments', 'retail']","['software and it', 'technology', 'software products']","['basic materials', 'chemicals', 'batteries']"
"['industries', 'commercial vehicles', 'bus manufacturing', 'trucks', 'automobile', 'heavy machinery']","['technology', 'software and it', 'software products']","['financial services', 'insurance']"
"['technology', 'software and it', 'software products']","['consumer defensive', 'retail', 'super markets', 'pharmacy']","['industries', 'commercial vehicles', 'bus manufacturing']"
"['software and it', 'technology', 'software products']","['utilities', 'gas utilities']","['utilities', 'gas utilities']"
"['energy', 'coal mining', 'mining', 'metals']","['industries', 'commercial vehicles', 'bus manufacturing', 'trucks', 'automobile', 'heavy machinery']","['consumer defensive', 'retail', 'super markets']"
"['utilities', 'gas utilities']","['financial services', 'insurance']","['technology', 'software and it', 'software products']"
"['consumer defensive', 'retail', 'super markets', 'pharmacy']","['basic materials', 'chemicals', 'batteries']","['software and it', 'technology', 'software products']"
"['financial services', 'banking services']","['financial services', 'investments', 'asset management']","['financial services', 'investments', 'asset management']"
"['financial services', 'investments', 'asset management']","['consumer defensive', 'food and beverage', 'food products', 'fmcg', 'package foods']","['financial services', 'provides loans']"
"['financial services', 'provides loans']","['industries', 'business services', 'outsourcing and staffing']","['healthcare', 'animal healthcare companies', 'animal health medicine']"
"['basic materials', 'paper and pulp', 'wood products']","['technology', 'software and it', 'software products', 'software and it infrastructure']","['ecommerce', 'retail', 'fashion and luxury goods']"
"['consumer defensive', 'food and beverage', 'food products', 'fmcg', 'package foods']","['financial services', 'banking services']","['energy', 'oil and gas', 'utilities']"
"['industries', 'business services', 'outsourcing and staffing']","['basic materials', 'paper and pulp', 'wood products']","['basic materials', 'paper and pulp', 'wood products']"
"['technology', 'software and it', 'software products', 'software and it infrastructure']","['energy', 'oil and gas', 'utilities', 'gas utilities']","['financial services', 'banking services']"
"['ecommerce', 'retail', 'fashion and luxury goods']","['ecommerce', 'retail', 'fashion and luxury goods']","['technology', 'software and it', 'software products']"
"['energy', 'oil and gas', 'utilities', 'gas utilities']","['healthcare', 'animal healthcare companies', 'animal health medicine', 'pharmaceutical']","['industries', 'business services', 'outsourcing and staffing']"
"['healthcare', 'animal healthcare companies', 'animal health medicine', 'pharmaceutical']","['financial services', 'provides loans']","['consumer defensive', 'food and beverage', 'food products']"
"['consumer cyclical', 'retail']","['consumer cyclical', 'retail']","['technology', 'electronics']"
"['consumer defensive', 'tobacco and cigarette', 'tobacco products', 'cigarettes', 'consumer goods']","['financial services', 'banking services']","['consumer defensive', 'tobacco and cigarette', 'tobacco products']"
"['technology', 'electronics', 'capital goods']","['consumer defensive', 'tobacco and cigarette', 'tobacco products', 'cigarettes', 'consumer goods']","['real estate', 'property investments', 'commercial properties']"
"['technology', 'electronics']","['technology', 'electronics']","['financial services', 'banking services']"
"['real estate', 'property investments', 'commercial properties']","['real estate', 'property investments', 'commercial properties']","['consumer cyclical', 'retail']"
"['financial services', 'banking services']","['financial services', 'insurance']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['consumer defensive', 'consumer services', 'business services', 'food chains / distributor']","['financial services', 'banking services']"
"['financial services', 'insurance']","['technology', 'electronics', 'capital goods']","['technology', 'electronics', 'capital goods']"
"['financial services', 'banking services']","['financial services', 'banking services']","['consumer defensive', 'consumer services', 'business services']"
"['consumer defensive', 'consumer services', 'business services', 'food chains / distributor']","['healthcare', 'pharmaceutical', 'healthcare products']","['financial services', 'insurance']"
"['consumer cyclical', 'hotels', 'resorts', 'consumer services']","['consumer cyclical', 'hotels', 'resorts', 'consumer services']","['industries', 'retail', 'home furnishing']"
"['healthcare', 'medical equipment', 'healthcare products']","['consumer defensive', 'retail']","['technology', 'semiconductors', 'electronics']"
"['financial services', 'asset management']","['technology', 'software and it', 'software products']","['technology', 'automation', 'robotics']"
"['technology', 'automation', 'robotics', 'capital goods', 'sensors', 'technology hardware and instruments']","['financial services', 'securities', 'stock markets, trading, capital markets', 'trading']","['healthcare', 'medical equipment', 'healthcare products']"
"['technology', 'semiconductors', 'electronics']","['financial services', 'asset management']","['basic materials', 'chemicals', 'plastics / plastic products']"
"['consumer defensive', 'retail']","['basic materials', 'chemicals', 'plastics / plastic products']","['financial services', 'asset management']"
"['industries', 'retail', 'home furnishing']","['healthcare', 'medical equipment', 'healthcare products']","['financial services', 'securities', 'stock markets, trading, capital markets']"
"['financial services', 'securities', 'stock markets, trading, capital markets', 'trading']","['technology', 'automation', 'robotics', 'capital goods', 'sensors', 'technology hardware and instruments']","['technology', 'software and it', 'software products']"
"['basic materials', 'chemicals', 'plastics / plastic products']","['technology', 'semiconductors', 'electronics']","['consumer defensive', 'retail']"
"['technology', 'software and it', 'software products']","['industries', 'retail', 'home furnishing']","['consumer cyclical', 'hotels', 'resorts']"
"['real estate', 'consumer services']","['financial services', 'banking services']","['technology', 'digital payment solution services', 'financial services']"
"['basic materials', 'paper and pulp', 'packaging materials']","['technology', 'digital payment solution services', 'financial services', 'software and it']","['financial services', 'banking services']"
"['financial services', 'banking services']","['basic materials', 'paper and pulp', 'packaging materials']","['financial services', 'insurance']"
"['technology', 'software and it', 'software products']","['industries', 'airlines', 'aviation', 'transportation', 'freight transport']","['technology', 'software and it', 'software products']"
"['industries', 'airlines', 'aviation', 'transportation', 'freight transport']","['industries', 'chemicals', 'construction materials', 'building products and equipment']","['utilities', 'electric utilities', 'renewable energy']"
"['utilities', 'energy', 'electric utilities', 'electricity generation', 'power generation']","['utilities', 'energy', 'electric utilities', 'electricity generation', 'power generation']","['real estate', 'consumer services']"
"['technology', 'digital payment solution services', 'financial services', 'software and it']","['real estate', 'consumer services']","['utilities', 'energy', 'electric utilities']"
"['utilities', 'electric utilities', 'renewable energy']","['utilities', 'electric utilities', 'renewable energy']","['industries', 'chemicals', 'construction materials']"
"['financial services', 'insurance']","['technology', 'software and it', 'software products']","['industries', 'airlines', 'aviation']"
"['industries', 'chemicals', 'construction materials', 'building products and equipment']","['financial services', 'insurance']","['basic materials', 'paper and pulp', 'packaging materials']"
"['energy', 'oil and gas', 'petroleum']","['real estate', 'property investments', 'commercial properties']","['consumer cyclical', 'consumer services', 'entertainment']"
"['industries', 'robotics', 'electrical products', 'electronics', 'technology hardware and instruments', 'engineering products']","['industries', 'mining', 'metals', 'chemicals']","['utilities', 'energy', 'electricity generation']"
"['energy', 'chemicals', 'oil and gas', 'conglomerate', 'utilities', 'petrochemicals', 'mining', 'gold mining', 'electric utilities', 'metals', 'fuels', 'natural gas generation', 'petroleum']","['basic materials', 'chemicals']","['basic materials', 'chemicals']"
"['industries', 'mining', 'metals', 'chemicals']","['utilities', 'energy', 'electricity generation', 'power generation', 'electric utilities']","['industries', 'mining', 'metals']"
"['utilities', 'energy', 'electricity generation', 'power generation', 'electric utilities']","['consumer cyclical', 'consumer services', 'entertainment', 'resorts']","['real estate', 'property investments', 'commercial properties']"
